subject,text,priority,queue
Rechnungsfrage zur letzten Transaktion,"Sehr geehrte Damen und Herren, benötigt die letzte Rechnung erneut.",2,Buchhaltung
Probleme mit dem Lüfter bei meinem XPS Laptop,"Sehr geehrtes Support-Team,
ich besitze seit einigen Wochen einen XPS Laptop und habe jetzt festgestellt, dass der Lüfter ungewöhnlich laut ist und gelegentlich sogar komplett ausfällt. Die Temperatur des Geräts steigt dadurch sehr schnell an. Können Sie mir bitte helfend zur Seite stehen und mir mitteilen, was hier der genaue Fehler sein könnte?
Vielen Dank im Voraus, Klaus-Jürgen Sänger.",2,Hardware
Fehlerhafte Gehaltsabrechnung,"Sehr geehrte Buchhaltungsabteilung, bei meiner letzten Gehaltsabrechnung ist mir aufgefallen, dass die Überstunden nicht korrekt verrechnet wurden. Bitte überprüfen Sie dies dringend, da ich die endgültige Abrechnung für meinen Kreditbedarf benötige. Vielen Dank, Nevin Brink",3,Buchhaltung
3ds Max schließt sich unerwartet - dringend,Seit dem Update schneidet sich 3ds Max immer wieder ab. Hilfe!,3,Software
Software stürzt ab – After Effects Notfall,"Sehr geehrtes Support-Team,

mein After Effects stürzt seit dem letzten Update ständig ab. Ich bin mitten in einem wichtigen Projekt, und das ist wirklich dringend! Bitte helft mir so schnell wie möglich!

Mit freundlichen Grüßen,
Pascal Jäger",3,Software
Hardware-Defekt: Fahrzeugdiagnosetool startet nicht mehr,"Sehr geehrtes Support-Team, mein Diagnosetool lässt sich plötzlich nicht mehr starten. Hilfe!",3,Hardware
Dringend! Smart Glasses funktionieren nach Update nicht mehr,"Sehr geehrte Damen und Herren,
mein Name ist Anja Arnold und nach dem letzten Firmware-Update sind meine Smart Glasses komplett ausgefallen. Sie lassen sich nicht mehr einschalten und ich benutze sie täglich bei der Arbeit. Können Sie mir bitte umgehend weiterhelfen?
Danke und beste Grüße,
Anja Arnold",3,Hardware
Rechtsberatung zu Arbeitsrecht für Mitarbeitern,"Hallo Buchhaltungsteam, ich habe eine Frage zur Arbeitszeitenregelung bezüglich unserer neuen Mitarbeitern. Insbesondere benötige ich Klarheit zu Überstundenregelungen und befristeten Arbeitsverträgen. Gibt es hierzu aktuelle gesetzliche Vorgaben und wie sollten wir diese umsetzen? Ich danke euch im Voraus für eure Hilfe! Liebe Grüße, Umit Karakaya",2,Buchhaltung
Frage zu dynamischem Mikrofon,"Sehr geehrte Damen und Herren,
ich habe kürzlich ein dynamisches Mikrofon bei Ihnen erworben. Es läuft grundsätzlich einwandfrei, dennoch möchte ich gern wissen, ob es möglich ist, einen anderen Standfuß für das Gerät zu nutzen. Gibt es kompatible Modelle, die Sie empfehlen können?
Vielen Dank und mit freundlichen Grüßen,
Nikolaus Schuller",1,Hardware
Frage zur Darstellung von Berichten in QuickBooks Online Accountant,"Sehr geehrter Kundensupport, ich habe ein kleines Problem mit QuickBooks Online Accountant. Die Berichte sind seit dem letzten Update nicht mehr richtig formatiert. Könnten Sie einmal prüfen, ob es ein bekanntes Problem gibt? Herzlichen Dank, Hedwig Diehl",1,Software
Anfrage: Anpassung der Mitarbeiterabrechnung bei Ihnen,"Hallo, ich bräuchte eine Anpassung bei meiner Abrechnung, da die letzten Spesen nicht korrekt aufgeführt wurden. Können Sie das bitte nachprüfen? Danke!",2,Buchhaltung
Dringende Anfrage zur Umsatzsteuererklärung 2023,"Hallo Buchhaltung, 
wir benötigen dringend eine aktualisierte Umsatzsteuererklärung für 2023. Könnten Sie uns diese baldmöglichst zukommen lassen? Wir müssen wichtige Abgaben tätigen.
Vielen Dank, 
Horst Kröger",3,Buchhaltung
Dringende HR-Frage: Mitarbeitervergütung Juli 2023,"Sehr geehrtes Buchhaltungsteam,

ich habe eine dringende Frage zur Mitarbeitervergütung für Juli 2023. Es scheint, als wären einige Überstunden nicht korrekt berücksichtigt worden. Bitte klären Sie das schnellstmöglich.

Vielen Dank.
Gruß, Dirk Götz",3,Buchhaltung
Directional Antenna funktioniert nicht,"Hallo Kundensupport, meine kürzlich bei Ihnen erworbene Directional Antenna hat plötzlich den Betrieb eingestellt. Gerät zeigt keine LED-Anzeigen und verbindet sich nicht mehr mit dem Router. Dringende Hilfe erforderlich, da ich es geschäftlich dringend benötige. Danke und viele Grüße, Emira Kus",3,Hardware
Solana stürzt nach Update 5.3 dauerhaft ab,"Guten Tag, nach Update 5.3 stürzt Solana ständig ab. Dringend Hilfe benötigt.",3,Software
Frage: Nächstes Update für E-ATX Motherboard,"Sehr geehrte Damen und Herren, ich wollte fragen, ob und wann ich das nächste Firmware-Update für mein E-ATX Motherboard bekommen kann. Gibt es einen Zeitplan für kommende Updates? Vielen Dank, Mark Hartmann",1,Hardware
Mitarbeiteranfrage zur Abrechnung,"Sehr geehrte Damen und Herren,

ich habe eine Frage bezüglich meiner letzten Gehaltsabrechnung. Mir scheint, dass die Überstunden für den Monat August nicht korrekt erfasst wurden. Könnten Sie dies bitte überprüfen und mich informieren? Vielen Dank im Voraus!

Mit freundlichen Grüßen,
Annette Stephan",2,Buchhaltung
Smart-Mixer hat ein kleines Display-Problem,"Hallo Support-Team, mein Smart-Mixer zeigt Streifen auf dem Display. Es ist kein großes Problem, aber nervig. Nazmi Radke",1,Hardware
Sabrent 4-Port USB 3.0 Hub nicht funktionsfähig,"Hallo Team, mein USB-Hub von Sabrent funktioniert nicht, kann keine Geräte mehr verbinden!",3,Hardware
